district,data type,year,gender,age group,number
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,00_04,1350.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,05_09,1359.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,10_14,1359.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,15_19,1522.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,20_24,1380.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,25_29,1327.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,30_34,1376.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,35_39,1642.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,40_44,2218.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,45_49,2202.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,50_54,1785.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,55_59,1595.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,60_64,1493.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,65_69,1265.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,70_74,841.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,75_79,592.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,80_84,327.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,85_89,176.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,90_94,45.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,maennlich,95+,8.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,00_04,1311.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,05_09,1316.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,10_14,1368.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,15_19,1383.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,20_24,1316.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,25_29,1283.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,30_34,1479.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,35_39,1790.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,40_44,2201.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,45_49,2126.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,50_54,1787.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,55_59,1637.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,60_64,1556.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,65_69,1269.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,70_74,864.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,75_79,638.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,80_84,476.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,85_89,280.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,90_94,95.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2010,weiblich,95+,28.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,00_04,1397.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,05_09,1391.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,10_14,1377.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,15_19,1504.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,20_24,1404.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,25_29,1302.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,30_34,1412.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,35_39,1641.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,40_44,2191.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,45_49,2234.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,50_54,1871.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,55_59,1588.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,60_64,1530.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,65_69,1306.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,70_74,899.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,75_79,604.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,80_84,381.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,85_89,180.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,90_94,55.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,maennlich,95+,7.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,00_04,1274.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,05_09,1346.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,10_14,1375.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,15_19,1410.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,20_24,1303.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,25_29,1334.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,30_34,1468.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,35_39,1827.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,40_44,2150.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,45_49,2212.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,50_54,1860.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,55_59,1657.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,60_64,1577.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,65_69,1337.0
Affoltern,Effektiv_Kantonale_Bevoelkerungserhebung,2011,weiblich,70_74,907.0
