name,address,lat,lng,type
Migros-Supermarkt - Bern - Marktgasse,"Marktgasse 46, Bern",46.9482562,7.4450371,Migros
Migros-Supermarkt - Bern - Zähringer,"Zähringerstrasse 43, Bern",46.95519240000001,7.433637,Migros
Migros-Supermarkt - Bern - Lorraine,"Dammweg 9, Bern",46.95610660000001,7.446641399999999,Migros
Migros-Supermarkt - Bern - Westside,"Gilberte-de-Courgenay-Platz 4, Bern",46.9449134,7.374808,Migros
Migros-Supermarkt - Worb,"Richigenstrasse 1, Worb",46.9268126,7.5652112,Migros
Migros-Supermarkt - Bern - Breitenrain,"Breitenrainstrasse 11, Bern",46.9581654,7.453915100000001,Migros
Migros-Supermarkt - Bern - Eigerplatz,"Seftigenstrasse 1, Bern",46.94008119999999,7.431858800000001,Migros
Migros-Supermarkt - Bern - Christoffel,"Christoffelunterführung, Bern",46.9477989,7.4401614,Migros
Migros-Supermarkt - Wabern - Chly Wabere,"Seftigenstrasse 368, Wabern bei Bern",46.9224696,7.459706499999999,Migros
Migros-Supermarkt - Bern - Welle 7,"Schanzenstrasse 5, Bern",46.9480435,7.4369451,Migros
Migros-Supermarkt - Belp,"Steinbachstrasse 28, Belp",46.8965219,7.493174,Migros
Migros-Supermarkt - Münsingen,"Bahnhofpl. 5, Münsingen",46.8731962,7.5601532,Migros
Migros-Supermarkt - Köniz - Bläuacker,"Bläuacker 10, Köniz",46.9233047,7.414155,Migros
Migros-Supermarkt - Schönbühl - Shoppyland,"Industriestrasse 10, Urtenen-Schönbühl",47.0168401,7.491994099999999,Migros
Migros-Supermarkt - Ostermundigen,"Bernstrasse 114, Ostermundigen",46.9567813,7.496015499999999,Migros
Migros-Supermarkt - Bern Westflügel,"Bethlehemstrasse 40, Bern",46.94676519999999,7.394885299999999,Migros
Migros-Supermarkt - Ittigen,"Talweg 6, Ittigen",46.9742036,7.485090599999999,Migros
Migros-Supermarkt - Bern - Bachmätteli,"Bottigenstrasse 7, Bern",46.9392952,7.389896799999999,Migros
Migros-Supermarkt - Bern - Bubenberg,"Bubenbergpl. 8, Bern",46.9477011,7.438128799999999,Migros
Migros-Supermarkt - Bern - Winkelried,"Wankdorffeldstrasse 71, Bern",46.96580489999999,7.4635238,Migros
Migros-Supermarkt - Bern - Kirchenfeld,"Thunstrasse 18, Bern",46.9422743,7.4530603,Migros
Migros-Supermarkt - Bern - Bahnhof,"Bahnhofpl. 10, Bern",46.9492666,7.4400441,Migros
Migros-Supermarkt - Gümligen,"Turbenweg 1, Muri bei Bern",46.9332437,7.504227599999999,Migros
Migros-Supermarkt - Bern - Egghölzli,"Egghölzlistrasse 1/1a, Bern",46.9370092,7.475200099999999,Migros
Migros-Supermarkt - Bern - Freudenberg,"Giacomettistrasse 15, Bern",46.9455765,7.4728372,Migros
Migros-Supermarkt,"Riedbachstrasse 10, Bern",46.947532,7.383285,Migros
