district,data type,year,gender,age group,number
Affoltern,Pop_Actual,2010,male,00_04,1350.0
Affoltern,Pop_Actual,2010,male,05_09,1359.0
Affoltern,Pop_Actual,2010,male,10_14,1359.0
Affoltern,Pop_Actual,2010,male,15_19,1522.0
Affoltern,Pop_Actual,2010,male,20_24,1380.0
Affoltern,Pop_Actual,2010,male,25_29,1327.0
Affoltern,Pop_Actual,2010,male,30_34,1376.0
Affoltern,Pop_Actual,2010,male,35_39,1642.0
Affoltern,Pop_Actual,2010,male,40_44,2218.0
Affoltern,Pop_Actual,2010,male,45_49,2202.0
Affoltern,Pop_Actual,2010,male,50_54,1785.0
Affoltern,Pop_Actual,2010,male,55_59,1595.0
Affoltern,Pop_Actual,2010,male,60_64,1493.0
Affoltern,Pop_Actual,2010,male,65_69,1265.0
Affoltern,Pop_Actual,2010,male,70_74,841.0
Affoltern,Pop_Actual,2010,male,75_79,592.0
Affoltern,Pop_Actual,2010,male,80_84,327.0
Affoltern,Pop_Actual,2010,male,85_89,176.0
Affoltern,Pop_Actual,2010,male,90_94,45.0
Affoltern,Pop_Actual,2010,male,95+,8.0
Affoltern,Pop_Actual,2010,female,00_04,1311.0
Affoltern,Pop_Actual,2010,female,05_09,1316.0
Affoltern,Pop_Actual,2010,female,10_14,1368.0
Affoltern,Pop_Actual,2010,female,15_19,1383.0
Affoltern,Pop_Actual,2010,female,20_24,1316.0
Affoltern,Pop_Actual,2010,female,25_29,1283.0
Affoltern,Pop_Actual,2010,female,30_34,1479.0
Affoltern,Pop_Actual,2010,female,35_39,1790.0
Affoltern,Pop_Actual,2010,female,40_44,2201.0
Affoltern,Pop_Actual,2010,female,45_49,2126.0
Affoltern,Pop_Actual,2010,female,50_54,1787.0
Affoltern,Pop_Actual,2010,female,55_59,1637.0
Affoltern,Pop_Actual,2010,female,60_64,1556.0
Affoltern,Pop_Actual,2010,female,65_69,1269.0
Affoltern,Pop_Actual,2010,female,70_74,864.0
Affoltern,Pop_Actual,2010,female,75_79,638.0
Affoltern,Pop_Actual,2010,female,80_84,476.0
Affoltern,Pop_Actual,2010,female,85_89,280.0
Affoltern,Pop_Actual,2010,female,90_94,95.0
Affoltern,Pop_Actual,2010,female,95+,28.0
Affoltern,Pop_Actual,2011,male,00_04,1397.0
Affoltern,Pop_Actual,2011,male,05_09,1391.0
Affoltern,Pop_Actual,2011,male,10_14,1377.0
Affoltern,Pop_Actual,2011,male,15_19,1504.0
Affoltern,Pop_Actual,2011,male,20_24,1404.0
Affoltern,Pop_Actual,2011,male,25_29,1302.0
Affoltern,Pop_Actual,2011,male,30_34,1412.0
Affoltern,Pop_Actual,2011,male,35_39,1641.0
Affoltern,Pop_Actual,2011,male,40_44,2191.0
Affoltern,Pop_Actual,2011,male,45_49,2234.0
Affoltern,Pop_Actual,2011,male,50_54,1871.0
Affoltern,Pop_Actual,2011,male,55_59,1588.0
Affoltern,Pop_Actual,2011,male,60_64,1530.0
Affoltern,Pop_Actual,2011,male,65_69,1306.0
Affoltern,Pop_Actual,2011,male,70_74,899.0
Affoltern,Pop_Actual,2011,male,75_79,604.0
Affoltern,Pop_Actual,2011,male,80_84,381.0
Affoltern,Pop_Actual,2011,male,85_89,180.0
Affoltern,Pop_Actual,2011,male,90_94,55.0
Affoltern,Pop_Actual,2011,male,95+,7.0
Affoltern,Pop_Actual,2011,female,00_04,1274.0
Affoltern,Pop_Actual,2011,female,05_09,1346.0
Affoltern,Pop_Actual,2011,female,10_14,1375.0
Affoltern,Pop_Actual,2011,female,15_19,1410.0
Affoltern,Pop_Actual,2011,female,20_24,1303.0
Affoltern,Pop_Actual,2011,female,25_29,1334.0
Affoltern,Pop_Actual,2011,female,30_34,1468.0
Affoltern,Pop_Actual,2011,female,35_39,1827.0
Affoltern,Pop_Actual,2011,female,40_44,2150.0
Affoltern,Pop_Actual,2011,female,45_49,2212.0
Affoltern,Pop_Actual,2011,female,50_54,1860.0
Affoltern,Pop_Actual,2011,female,55_59,1657.0
Affoltern,Pop_Actual,2011,female,60_64,1577.0
Affoltern,Pop_Actual,2011,female,65_69,1337.0
