Kreis,kreis_number,District Name,Area (km²),pop_2024,Density
Kreis 7,7,Fluntern,15.02,39713,2644.0079893475367
Kreis 1,1,Altstadt,1.81,5769,3187.292817679558
Kreis 2,2,Enge,11.07,38247,3455.013550135501
Kreis 8,8,Riesbach,4.8,17898,3728.75
Kreis 10,10,Höngg,9.09,41544,4570.297029702971
Kreis 9,9,Albisrieden,12.07,60137,4982.35294117647
Kreis 12,12,Schwamendingen,5.98,32871,5496.822742474916
Kreis 11,11,Seebach,13.43,79678,5932.836932241251
Kreis 3,3,Wiedikon,8.64,51434,5953.009259259259
Kreis 6,6,Unterstrass,5.1,36161,7090.392156862746
Kreis 5,5,Industriequartier,2.0,15694,7847.0
Kreis 4,4,Aussersihl,2.9,29518,10178.620689655172
