name,address,lat,lng,type
Migros-Supermarkt - Affoltern a. A.,"Oberdorfstrasse 4, Affoltern am Albis",47.2784382,8.4538412,Migros
Migros-Supermarkt - Muri AG,"Kirchenfeldstrasse 8, Muri",47.2720122,8.3418444,Migros
Migros-Supermarkt - Zug - Metalli,"Baarerstrasse 22, Zug",47.1731333,8.5182252,Migros
Migros-Supermarkt - Baar,"Bahnhofstrasse 5, Baar",47.1955556,8.525,Migros
Migros-Supermarkt - Zug Herti,"Hertizentrum 10, Zug",47.1780321,8.5059051,Migros
Migros-Supermarkt - Steinhausen - Zugerland,"Hinterbergstrasse 40, Steinhausen",47.1924775,8.4769179,Migros
Migros-Supermarkt - Cham - Neudorf,"Zugerstrasse 15/17, Cham",47.18240730000001,8.461297,Migros
Migros-Supermarkt - Rotkreuz,"Buonaserstrasse 1, Risch-Rotkreuz",47.1412273,8.4287147,Migros
Migros-Supermarkt - Steinhausen Dorf,"Bahnhofstrasse 2, Steinhausen",47.1970572,8.4849262,Migros
Migros-Supermarkt - Hochdorf - Seetal-Center,"Hauptstrasse 5, Hochdorf",47.1656512,8.2919178,Migros
Migros-Supermarkt - Zug - Grabenstrasse,"Grabenstrasse 5, Zug",47.1652756,8.515132,Migros
Migros-Supermarkt - Root,"Bahnhofstrasse 11b, Root",47.1179287,8.3919455,Migros
Migros-Supermarkt - Hünenberg Dorf,"Maihölzli 5, Hünenberg",47.17504,8.427463,Migros
Migros-Supermarkt - Grienbachstrasse Zug,"Grienbachstrasse 11, Zug",47.1841158,8.522753,Migros
Migros Food Corner - Zug - Metalli,"Baarerstrasse 22, Zug",47.1731163,8.5182469,Migros
Seetal-Center Hochdorf,"Hauptstrasse 5, Hochdorf",47.1658333,8.2916667,Migros
Coop Supermarkt Sins,"Luzernerstrasse 3, Sins",47.1908576,8.3959023,Migros
Coop Supermarkt Affoltern am Albis,"Büelstrasse 15, Affoltern am Albis",47.2738709,8.445676299999999,Coop
Coop Supermarkt Baar Gotthard,"Poststrasse 3, Baar",47.1951121,8.5238544,Coop
Coop Supermarkt Muri AG,"Seetalstrasse 1, Muri",47.2728429,8.341126899999999,Coop
Coop Supermarkt Rotkreuz,"Luzernerstrasse 8, Rotkreuz",47.1407392,8.427121999999999,Coop
Coop Supermarkt Zug Neustadt,"Baarerstrasse 6, Zug",47.1709556,8.5164337,Coop
Coop Supermarkt Baar Oberdorf,"Oberdorfstrasse 6A, Baar",47.19560509999999,8.529992,Coop
Coop Supermarkt Cham Seehof,"Zugerstrasse 14, Cham",47.181466,8.461554399999999,Coop
Coop Supermarkt Zug Bahnhof,"Bahnhof SBB, Zug",47.1734068,8.5155047,Coop
Coop Supermarkt Root,"Bahnhofstrasse 17, Root",47.1177186,8.3919201,Coop
Coop Supermarkt Steinhausen,"Bahnhofstrasse 7, Steinhausen",47.196404,8.4826204,Coop
Coop Supermarkt Obfelden,"Ottenbacherstrasse 23, Obfelden",47.266924,8.4242246,Coop
Coop Supermarkt Eschenbach LU,"Oberhof 5, Eschenbach",47.1336873,8.3196588,Coop
Coop Supermarkt Hochdorf,"Bellevuestrasse 6, Hochdorf",47.1689547,8.2886334,Coop
Coop Supermarkt Sins,"Luzernerstrasse 3, Sins",47.1908576,8.3959023,Coop
Coop Supermarkt Hünenberg,"Eichengasse 1A, Hünenberg",47.1754867,8.426347699999999,Coop
Migros-Supermarkt - Affoltern a. A.,"Oberdorfstrasse 4, Affoltern am Albis",47.2784382,8.4538412,Coop
Coop Center Neustadt-Passage,"Baarerstrasse 4, Zug",47.1708717,8.516426,Coop
Migros-Supermarkt - Cham - Neudorf,"Zugerstrasse 15/17, Cham",47.18240730000001,8.461297,Coop
Coop Pronto Shop mit Tankstelle Baar Zugerstrasse,"Zugerstrasse 64, Baar",47.18483029999999,8.5201764,Coop
ALDI SUISSE,"Industriestrasse 5, Affoltern am Albis",47.2727428,8.447017899999999,Coop
Coop Pronto Shop mit Tankstelle Hochdorf,"Alte Urswilstrasse 1, Hochdorf",47.1655439,8.290035,Coop
Coop Pronto Shop mit Tankstelle Cham,"Hinterbergstrasse 6, Cham",47.186643,8.475304800000002,Coop
Coop Pronto Shop mit Tankstelle Rotkreuz,"Blegistrasse 2, Rotkreuz",47.1477556,8.434031599999999,Coop
Coop Pronto Shop mit Tankstelle Muri,"Luzernerstrasse 33, Muri",47.2712871,8.3433801,Coop
Coop Pronto Shop mit Tankstelle Affoltern am Albis,"Im Wängli 6, Affoltern am Albis",47.2840263,8.453483199999999,Coop
Lidl Schweiz,"Aarauerstrasse 36, Muri",47.2794,8.336179999999999,Lidl
Lidl Schweiz,"Huwil 2, Römerswil",47.16401,8.277809999999999,Lidl
Lidl Schweiz,"Gotthardstrasse 2, Zug",47.17228739999999,8.5174525,Lidl
Lidl Schweiz,"Centralweg 3, Affoltern am Albis",47.2780069,8.4530301,Lidl
Lidl Schweiz,"Sagistrasse 10, Baar",47.1850661,8.5185,Lidl
Lidl Schweiz,"Hinterbergstrasse 19, Cham",47.1879802,8.47784,Lidl
ALDI SUISSE,"Obermühleweid 1, Cham",47.18565659999999,8.4556594,Lidl
Migros-Supermarkt - Affoltern a. A.,"Oberdorfstrasse 4, Affoltern am Albis",47.2784382,8.4538412,Lidl
ALDI SUISSE,"Oberdorfstrasse 9, Baar",47.1963426,8.5300228,Lidl
ALDI SUISSE,"Gwärbstrasse 4, Honau",47.1316178,8.403156899999999,Lidl
Volg Rifferswil,"Dorfpl. 1, Rifferswil",47.2426328,8.4960576,Lidl
ALDI SUISSE,"Alte Steinhauserstrasse 10, Cham",47.1873752,8.4757201,Lidl
Denner Partner,"Albisstrasse 8, Kappel am Albis",47.229772,8.5272296,Lidl
Denner Partner,"Luzernerstrasse 10, Muri",47.2724083,8.3417698,Denner
Denner Discount,"Sunneblick 31, Rotkreuz",47.1447896,8.4312639,Denner
Denner Discount,"Jonentalstrasse 1, Affoltern am Albis",47.2771601,8.4548399,Denner
Denner Discount,"Hauptstrasse 5, Hochdorf",47.1658087,8.2914701,Denner
Denner Discount,"Zugerstrasse 15 / 17, Cham",47.1817324,8.461333100000001,Denner
Denner Express,"Baarerstrasse 8, Zug",47.1712187,8.5165791,Denner
Denner Partner,"Luzernstrasse 18, Eschenbach",47.130796,8.3221615,Denner
Denner Discount,"Zürichstrasse 51, Affoltern am Albis",47.27613119999999,8.450270699999999,Denner
Denner Partner,"Albisstrasse 8, Kappel am Albis",47.229772,8.5272296,Denner
Denner Discount,"Oberdorfstrasse 6A, Baar",47.1958475,8.529828300000002,Denner
Denner Discount,"Zugerstrasse 47, Steinhausen",47.1917599,8.4884749,Denner
Denner Discount,"Hertizentrum 10, Zug",47.1780404,8.505821,Denner
Denner Discount,"Baarerstrasse 22, Zug",47.1734097,8.5170712,Denner
Denner Discount,"Hinterbergstrasse 40, Steinhausen",47.191997,8.477761,Denner
Seetal-Center Hochdorf,"Hauptstrasse 5, Hochdorf",47.1658333,8.2916667,Denner
Coop Supermarkt Cham Seehof,"Zugerstrasse 14, Cham",47.181466,8.461554399999999,Denner
ALDI SUISSE,"Obermühleweid 1, Cham",47.18565659999999,8.4556594,Aldi
ALDI SUISSE,"Alte Steinhauserstrasse 10, Cham",47.1873752,8.4757201,Aldi
ALDI SUISSE,"Gwärbstrasse 4, Honau",47.1316178,8.403156899999999,Aldi
ALDI SUISSE,"Oberdorfstrasse 9, Baar",47.1963426,8.5300228,Aldi
ALDI SUISSE,"Industriestrasse 5, Affoltern am Albis",47.2727428,8.447017899999999,Aldi
Lidl Schweiz,"Gotthardstrasse 2, Zug",47.17228739999999,8.5174525,Aldi
Hochdorf EKZ,"Hauptstrasse 5, Hochdorf",47.1661132,8.291483699999999,Aldi
Lidl Schweiz,"Centralweg 3, Affoltern am Albis",47.2780069,8.4530301,Aldi
Muris Market,"Luzernerstrasse 32, Muri",47.2707121,8.3430165,Aldi
Migros-Supermarkt - Baar,"Bahnhofstrasse 5, Baar",47.1955556,8.525,Aldi
Migros-Supermarkt - Cham - Neudorf,"Zugerstrasse 15/17, Cham",47.18240730000001,8.461297,Aldi
Migros-Supermarkt - Muri AG,"Kirchenfeldstrasse 8, Muri",47.2720122,8.3418444,Aldi
