name_left,lat,lng,street,city,type,district,place_id,place_details,rating,reviews,size_category,rating_category,geometry,bezeichnung
Migros-Supermarkt - Zürich - Limmatplatz,47.38546299999999,8.531409199999999,Limmatstrasse 152,Zürich,Migros,Zürich,ChIJS6CT8QgKkEcRVC558wYywsQ,"{'formatted_address': 'Limmatstrasse 152, 8005 Zürich, Switzerland', 'name': 'Migros-Supermarkt - Zürich - Limmatplatz', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.3, 'user_ratings_total': 2180}",4.3,2180.0,Large,Average,POINT (8.531409199999999 47.38546299999999),Kreis 5
Migros-Supermarkt - Zürich - Albisriederplatz,47.3791083,8.5087575,Badenerstrasse 376,Zürich,Migros,Zürich,ChIJP2csREgKkEcRBKI93d184H0,"{'formatted_address': 'Badenerstrasse 376, 8004 Zürich, Switzerland', 'name': 'Migros-Supermarkt - Zürich - Albisriederplatz', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.1, 'user_ratings_total': 593}",4.1,593.0,Medium,Average,POINT (8.5087575 47.3791083),Kreis 4
Migros-Supermarkt - Zürich - Wollishofen,47.34472220000001,8.53,Etzelstrasse 3,Zürich,Migros,Zürich,ChIJA0Pf5N4JkEcRD2eKbftCaxc,"{'formatted_address': 'Etzelstrasse 3, 8038 Zürich, Switzerland', 'name': 'Migros-Supermarkt - Zürich - Wollishofen', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.4, 'user_ratings_total': 772}",4.4,772.0,Medium,Average,POINT (8.529999999999999 47.34472220000001),Kreis 2
Migros Supermarket Zürich Schmiede Wiedikon,47.3700773,8.520128399999999,Birmensdorferstrasse 140,Zürich,Migros,Zürich,ChIJfSSTTR4KkEcRF7QYJUbjEPU,"{'formatted_address': 'Birmensdorferstrasse 140, 8003 Zürich, Switzerland', 'name': 'Migros Supermarket Zürich Schmiede Wiedikon', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 784}",4.2,784.0,Medium,Average,POINT (8.520128399999999 47.3700773),Kreis 3
Migros-Supermarkt - Zürich - Pünt,47.3752654,8.485693099999999,Albisriederstrasse 365,Zürich,Migros,Zürich,ChIJT4C60NYLkEcR4go8AuAy9HE,"{'formatted_address': 'Albisriederstrasse 365, 8047 Zürich, Switzerland', 'name': 'Migros-Supermarkt - Zürich - Pünt', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 238}",4.2,238.0,Small,Average,POINT (8.485693099999999 47.3752654),Kreis 9
Migros-Supermarkt - Zürich - Wiedikon M-Märt,47.3699559,8.508720799999999,Birmensdorferstrasse 320,Zürich,Migros,Zürich,ChIJlyh8cScKkEcRY3M2wmnjbVI,"{'formatted_address': 'Birmensdorferstrasse 320, 8055 Zürich, Switzerland', 'name': 'Migros-Supermarkt - Zürich - Wiedikon M-Märt', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.3, 'user_ratings_total': 633}",4.3,633.0,Medium,Average,POINT (8.508720799999999 47.3699559),Kreis 3
Migros-Supermarkt - Zürich - Leimbach Sihlbogen,47.33600999999999,8.5188204,Leimbachstrasse 23,Zürich,Migros,Zürich,ChIJ6cfaKs4JkEcRgtb1q4szNRU,"{'formatted_address': 'Leimbachstrasse 23, 8041 Zürich, Switzerland', 'name': 'Migros-Supermarkt - Zürich - Leimbach Sihlbogen', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.1, 'user_ratings_total': 308}",4.1,308.0,Medium,Average,POINT (8.518820399999999 47.33600999999999),Kreis 2
Migros,47.36413049999999,8.5310291,Tessinerpl. 10,Zürich,Migros,Zürich,ChIJ8_GqOdYJkEcRlyA5wY3lgh0,"{'formatted_address': 'Tessinerpl. 10, 8002 Zürich, Switzerland', 'name': 'Migros', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0630'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0630'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0630'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0630'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0630'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']}, 'rating': 4.1, 'user_ratings_total': 648}",4.1,648.0,Medium,Average,POINT (8.5310291 47.36413049999999),Kreis 2
Migros Supermarket Zürich Wengihof,47.3749769,8.5230961,Wengistrasse 7,Zürich,Migros,Zürich,ChIJ3_pzcxkKkEcRcqDQcszcT6Y,"{'formatted_address': 'Wengistrasse 7, 8004 Zürich, Switzerland', 'name': 'Migros Supermarket Zürich Wengihof', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.1, 'user_ratings_total': 597}",4.1,597.0,Medium,Average,POINT (8.5230961 47.3749769),Kreis 4
Migros-Supermarkt - Zürich - Herdern,47.3902225,8.508951999999999,Pfingstweidstrasse 101,Zürich,Migros,Zürich,ChIJP2csREgKkEcRSAGtX2mbhGM,"{'formatted_address': 'Pfingstweidstrasse 101, 8005 Zürich, Switzerland', 'name': 'Migros-Supermarkt - Zürich - Herdern', 'opening_hours': {'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '0630'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '0630'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '0630'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '0630'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0630'}}, {'close': {'day': 6, 'time': '1600'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 6:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']}, 'rating': 4.2, 'user_ratings_total': 373}",4.2,373.0,Medium,Average,POINT (8.508951999999999 47.3902225),Kreis 5
